employeeId,name,email,department,role
EMP001,Sushant,sushant@gmail.com,IT,Employee
EMP002,Rahul,rahul@gmail.com,HR,Manager
EMP003,Priya,priya@gmail.com,Finance,Employee
EMP004,Amit,amit@gmail.com,IT,Employee
EMP005,Neha,neha@gmail.com,Marketing,Employee
EMP006,Karan,karan@gmail.com,HR,Employee
EMP007,Anjali,anjali@gmail.com,Finance,Manager
EMP008,Rohit,rohit@gmail.com,IT,Employee
EMP009,Meera,meera@gmail.com,Marketing,Employee
EMP010,Vikram,vikram@gmail.com,Operations,Manager
EMP011,Sneha,sneha@gmail.com,Operations,Employee
EMP012,Arjun,arjun@gmail.com,IT,Employee
EMP013,Pooja,pooja@gmail.com,HR,Employee
EMP014,Nikhil,nikhil@gmail.com,Finance,Employee
EMP015,Divya,divya@gmail.com,Marketing,Manager
EMP016,Manoj,manoj@gmail.com,Operations,Employee
EMP017,Kavya,kavya@gmail.com,IT,Employee
EMP018,Deepak,deepak@gmail.com,HR,Employee
EMP019,Ritika,ritika@gmail.com,Finance,Employee
EMP020,Harish,harish@gmail.com,Operations,Employee
